reg,section
2023-CS-37,A
2023-CS-52,A
2023-CS-53,A
2023-CS-54,A
2023-CS-58,A
2023-CS-59,A
2023-CS-60,A
2023-CS-61,A
2023-CS-62,A
2023-CS-63,A
2023-CS-64,A
2023-CS-66,A
2023-CS-67,A
2023-CS-68,A
2023-CS-69,A
2023-CS-70,A
2023-CS-73,A
2023-CS-74,A
2023-CS-75,A
2023-CS-76,A
2023-CS-77,A
2023-CS-78,A
2023-CS-79,A
2023-CS-81,A
2023-CS-82,A
2023-CS-83,A
2023-CS-85,A
2023-CS-86,A
2023-CS-87,A
2023-CS-88,A
2023-CS-109,A
2023-CS-115,A
2023-CS-117,A
2023-CS-118,A
2023-CS-120,A
2023-CS-121,A
2023-CS-125,A
2023-CS-130,A
2023-CS-134,A
2023-CS-138,A
2023-CS-140,A
2023-CS-154,A
2023-CS-155,A
2023-CS-156,A
2023-CS-162,A
2023-CS-163,A
2023-CS-168,A
2023-CS-170,A
2023-CS-171,A
2023-CS-175,A
2023-CS-176,A
2023-CS-181,A
2023-CS-182,A
2023-CS-183,A
2023-CS-184,A
2023-CS-186,A
2023-CS-189,A
2023-CS-190,A
2023-CS-191,A
2023-CS-1,A
2023-CS-02,A
2023-CS-5,A
2023-CS-06,A
2023-CS-7,A
2023-CS-8,A
2023-CS-10,A
2023-CS-11,A
2023-CS-12,A
2023-CS-13,A
2023-CS-14,A
2023-CS-15,A
2023-CS-16,A
2023-CS-17,A
2023-CS-18,A
2023-CS-19,A
2023-CS-20,A
2023-CS-22,A
2023-CS-25,A
2023-CS-26,A
2023-CS-27,A
2023-CS-28,A
2023-CS-29,A
2023-CS-30,A
2023-CS-32,A
2023-CS-34,A
2023-CS-36,A
2023-CS-38,A
2023-CS-39,A
2023-CS-101,A
2023-CS-103,A
2023-CS-104,A
2023-CS-105,A
2023-CS-106,A
2023-CS-107,A
2023-CS-111,A
2023-CS-112,A
2023-CS-113,A
2023-CS-117,A
2023-CS-119,A
2023-CS-122,A
2023-CS-123,A
2023-CS-124,A
2023-CS-126,A
2023-CS-127,A
2023-CS-128,A
2023-CS-129,A
2023-CS-131,A
2023-CS-137,A
2023-CS-157,A
2023-CS-158,A
2023-CS-160,A
2023-CS-164,A
2023-CS-167,A
2023-CS-169,A
2023-CS-173,A
2023-CS-177,A
2023-CS-178,A
2023-CS-652/2024-CS-89,A
2023-r22-CS-33,A
2023-R/2022-CS-203,A
2023-CS-174,A
